part_de,part_en,damage_de,damage_en,part_p1,part_p1_en,part_p2,part_p2_en,action,action_en
,,,,,,Dellen Gebrauchsspur,Dents use track,,
,,,,,,Seitenscheibe hinten rechts und links,Side window rear right and left,,
,,,,,,Chromleiste rechts,Chrome bar right,,
,,,,,,2mm. Sommer,2mm. summer,,
,,,,,,& verschuerft.,& sheltered.,,
,,,,,,11.19,11.19,,
,,,,,,Blende Fensterheberschalter,Hide window switch switch,,
,,,,,,nicht Bestandteil der Ausleiferung,Not part of lorrowing,,
,,,,,,<4mm verschlissen,<4mm worn,,
,,,,,,Abdeckkappe sowie Halter,Cover and holder,,
,,,,,,Zubehoer Felge,Zuhoer rim,,
,,,,,,und Motorhaube,and bonnet,,
,,,,,,Lacklaeufer / UEbergang,Lacklaeufer / transition,,
,,,,,,Farbauftrag,Color application,,
,,,,,,Lacklaeufer / Magerstellen,Lacklaeufer / leaning,,
,,,,,,Fussmatte Fahrerseite,Foot mat driver's side,,
,,,,,,Halter Laderaumabdeckung Heckklappe,Holder loader cover tailgate,,
,,,,,,pruefen,check,,
,,,,,,Steinschlag im Sichtfeld,Rockfall in the field of view,,
,,,,,,Rollo Halter rechts,Rollo holder right,,
,,,,,,Schraube im Profil,Screw in the profile,,
,,,,,,Einbau,Installation,,
,,,,,,Inkl. Korrosion,Including corrosion,,
,,,,,,inkl. Rissbildung,incl. Cracking,,
,,,,,,05/2020,05/2020,,
,,,,,,1.Radblende fehlt,1st wheel cover is missing,,
,,,,,,im Siebdruck,in screen printing,,
,,,,,,Digitaler Nachweis,Digital proof,,
,,,,,,"Korrosionsantrag, Kratzer","Corrosion application, scratches",,
,,,,,,Orangenhaut und,Orange skin and,,
,,,,,,Klebereste großflaechig,Adhesive big big,,
,,,,,,Abdeckung Duese,Cover Duese,,
,,,,,,Pruefen wegen Ausbeulung am Reifen.,Pruefen because of bulging on the tire.,,
,,,,,,"1 Reifen beschaedigt, 4 neue wegen Allrad","1 tire damaged, 4 new because of all-wheel",,
,,,,,,SR fehlen,SR missing,,
,,,,,,LM SR fehlen,LM SR missing,,
,,,,,,Steinschlag und Korrosion,Rockfall and corrosion,,
,,,,,,01/2010,01/2010,,
,,,,,,Lackeinschluesse und Schleifspuren,Paint influence and grinding tracks,,
,,,,,,OEse fehlt,Oese is missing,,
,,,,,,Kabelfuehrung lose,Cable control loose,,
,,,,,,OElwechsel seit 50 Tagen,Oil change for 50 days,,
,,,,,,Index,index,,
,,,,,,Rausbrueche,Rausbrueeche,,
,,,,,,Nachgeruestete Freisprecheinrichtung,Restored handsfree,,
,,,,,,"Abrieb, verformt und Lackmangel","Abrasion, deformed and paint deficiency",,
,,,,,,"wellig, Einschluesse","wavy, socks",,
,,,,,,schraeg abgefahren und verschlissen,Scraping and worn up,,
,,,,,,mit Rissbildung im schwarzen Bereich Rep. nicht zulaessig,with cracking in the black area Rep. Not permissible,,
,,,,,,Dellen und Kratzer,Dents and scratches,,
,,,,,,Hundeverbiss,Dogs,,
,,,,,,nicht fachgerecht lackiert / matt,not properly painted / matt,,
,,,,,,nich fachgerecht lackiert / matt,Not properly painted / matt,,
,,,,,,Sicherungsstift fehlt,Fuse pen is missing,,
,,,,,,< 4 mm / Winterreifen,<4 mm / winter tires,,
,,,,,,2 Schrauben lose,2 screws loose,,
,,,,,,Bremsschlauch verdreht,Brake hose twisted,,
,,,,,,"Abschlußblech links , Mehrkosten moeglich","Bandlets left, additional costs possible",,
,,,,,,Motorhaube 14stck. Dach 3stck .vorbehaltlich,Bonnet 14stck. Roof 3pcs. Subject to,,
,,,,,,Entlueftung verbaut,Remedy installed,,
,,,,,,Lueftung eingebaut,Luetung installed,,
,,,,,,Brillenfach,Spectacle,,
,,,,,,Oberhalb Dellen und,Above Dellen and,,
,,,,,,Innen Verkleidung,Interior panelling,,
,,,,,,Planenhaken,Plane hook,,
,,,,,,Plane beschaedigt,Plane damaged,,
,,,,,,Amaturenbrett,Dashboard,,
,,,,,,Laderaum hinten links,Caroom rear left,,
,,,,,,Laderaumverkleidung hinten rechts,Cargo lining rear right,,
,,,,,,Planenhalter seitlich rechts,Plan holder on the side of the right,,
,,,,,,Planenschnuroese links und rechts,Planning snuroies left and right,,
,,,,,,Planenschnur links und rechts,Plan string left and right,,
,,,,,,Tueren vorn,Tuer,,
,,,,,,Verkleidung Seitenwand links innen,Cladding side wall left inside,,
,,,,,,Steinschlag im Sichtbereich Fahrer groeßer 2mm,Rockfall in the field of viewer Großer 2mm,,
,,,,,,Wischermotor,Wiper motor,,
,,,,,,Eingelaufen,Infected,,
,,,,,,Kein KM/Datum,No KM / date,,
,,,,,,Motorraumdaemmung,Engine room,,
,,,,,,Unfallschaden / verformt / gebrochen,Accident damage / deformed / broken,,
,,,,,,innen + außen,Inside + outside,,
,,,,,,Flecken +,Patch +,,
,,,,,,seit 09/2019,since 09/2019,,
,,,,,,Sitze vorn und erste Reihe,Seats front and first row,,
,,,,,,und verkratzt,and scratch,,
,,,,,,#NAME?,#NAME?,,
,,,,,,leichte Delle,light delle,,
,,,,,,leichter Kratzer,lighter scratches,,
,,,,,,inkl. Abdeckung fuer Scheinwerferreinigung instandsetzen,Incl. Cover for headlight cleaning repair,,
,,,,,,und sehr viele Steinschlaege,And a lot of stone slides,,
,,,,,,sehr viele,many many,,
,,,,,,Abdeckung gebrochen,Cover broken,,
,,,,,,Vorne unten,Front below,,
,,,,,,Gummibelag,Rubber,,
,,,,,,6x OEsen der Ladungssicherung,6x oeses of load securing,,
,,,,,,Energiefuehrung/ Kette,Energy supply / chain,,
,,,,,,03/19/22,03/19/22,,
,,,,,,"OElverlust, Tropfenbildung, Kostenerweiterung moeglich","Oil loss, dropping, cost expansion possible",,
,,,,,,Einseitig Abgefahren,Unilaterally,,
,,,,,,ungleichmaeßig abgefahren,offset unevenly,,
,,,,,,RDKS,RDKS,,
,,,,,,Veraetzung im Klarlack,Contribution in the clearcoat,,
,,,,,,seit 05/2019,since 05/2019,,
,,,,,,seit 9.900 km,"For 9,900 km",,
,,,,,,03.2020 faellig,03.2020 Faellig,,
,,,,,,Diverse >2mm,Diverse> 2mm,,
,,,,,,L+r unten,L + R below,,
,,,,,,01.2020 faellig,01.2020 Faellig,,
,,,,,,Restlauf <1000Km,Residual run <1000km,,
,,,,,,Sensor lose,Sensor loose,,
,,,,,,Taschenlampe,flashlight,,
,,,,,,Griffverkleidung,Gripper,,
,,,,,,Dach vorne links,Roof front left,,
,,,,,,Beklebt,Glued,,
,,,,,,Tuerkantenschutz,Tuberry,,
,,,,,,mit Riss,with crack,,
,,,,,,Zierleiste links,Trim Left,,
,,,,,,mit Rissbildung heizbar nicht reparabel,with cracking heatable not repairable,,
,,,,,,re + li,Re + Li,,
,,,,,,Deckel rechts.com,Lid law.com,,
,,,,,,235/50R17 96W Sommer fehlt,235 / 50R17 96W Summer is missing,,
,,,,,,Winterreifen lose,Winter tire loose,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,Winterbereifung ist nicht Bestandteil der Ausstattung.,Winter tires is not part of the equipment.,,
,,,,,,hintere Ladebordwand,rear tail lift,,
,,,,,,"Fehlstellung, Krater, Einschluesse","Missing, crater, inclination",,
,,,,,,Bei Unfall (Seite links) erneuern!,Renew in accident (page left)!,,
,,,,,,Heckscheibe/vorbehaltlich Folgekosten,Rear washer / subject to follow-up costs,,
,,,,,,Plastikblende außen/vorbehaltlich Folgekosten,Plastic panel outside / subject to subsequent costs,,
,,,,,,Sichtschutz,Privacy,,
,,,,,,"Ausstattung fehlt evt., pruefen, Folgekosten moeglich","Facilities may lack evt., Prüfen, follow-up costs possible",,
,,,,,,Chrom loest sich ab,Chrome loans,,
,,,,,,Außenkante abgefahren,Turn out outer edge,,
,,,,,,"Rechts beschaedigt, Flanken re+li ueberhoeht abgelaufen","Right Damaged, Flank Re + Li Available Expired",,
,,,,,,Traglast zu gering,Payload too low,,
,,,,,,Diverse Steinschlaege und,Various stone slides and,,
,,,,,,Starker Geruch,Strong smell,,
,,,,,,Korrosion und,Corrosion and,,
,,,,,,Restlauf Unplausibel,Residual run implausible,,
,,,,,,inkl. Polsterreinigung,incl. Upholstery cleaning,,
,,,,,,Fußraum V.L Nass,Footwoman V.L Wet,,
,,,,,,Steinschlaege mit rissbildung,Stone slides with cracking,,
,,,,,,Winter. Beschaedigt und Verschlissen.,Winter. Covered and worn.,,
,,,,,,"stark verschrammt, oben u. unten","Strongly shredded, top u. below",,
,,,,,,hinten Riss,Rear crack,,
,,,,,,"verschrammt, gebrochen u. Dellen","Cracked, broken u. Dents",,
,,,,,,Innen klappern. Liegt was in Hohlraum.,Clatter inside. Lies in cavity.,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,im schwarzen Bereich Rep. nicht zulaessig Vorgaben VAG,In the black area Rep. Not permissible specifications VAG,,
,,,,,,4 Sommerreifen schraeg abgefahren innen,4 summer tires Schraeg carried out inside,,
,,,,,,Materialabtrag >1mm,Material removal> 1mm,,
,,,,,,ueber 20mm,20mm,,
,,,,,,Kante unterhalb Zierleiste.,Edge below molding.,,
,,,,,,oberhalb.,above.,,
,,,,,,"Kratzer, Lackmangel,","Scratch, paint deficiency,",,
,,,,,,und Radlauf. Folgekosten moeglich.,and cycling. Subsequent costs possible.,,
,,,,,,Lacknebelrueckstaende.Schleifen/Polieren.Folgekosten moeglich,Paint fog locking. Grinding / polishing. Expenses possible,,
,,,,,,Lacknebelrueckstaende.Schleifen/Polieren.Folgekosten moeglich.,Paint fog locking. Grinding / polishing. Exercise costs possible.,,
,,,,,,Lackmangel.Schleifen/Polieren.Folgekosten moeglich.,Paint deficiency. Grinding / polishing. Exercise costs possible.,,
,,,,,,Zwei,Two,,
,,,,,,Schaden rechts,Damage right,,
,,,,,,Verschuerft / Schaden rechts,Expressed / damage right,,
,,,,,,Hinten / Lackveraetzung,Rear / paint composition,,
,,,,,,"oberhalb, Lackveraetzung","Above, paint composition",,
,,,,,,Verschuerft / Schaden vorne links,Expressed / damage front left,,
,,,,,,Schaden vorne links,Damage front left,,
,,,,,,1 Reifen,1 tire,,
,,,,,,Traeger,Carrier,,
,,,,,,2x Sommerreifen Flanken innen unter 2mm,2x summer tires flanks inside under 2mm,,
,,,,,,Lackabplatzer / Kratzer,Paintabplace / scratch,,
,,,,,,Beule vorhanden,Beeule available,,
,,,,,,"Sommerreifen. Farbunterschiede, Schleifspuren.","Summer tires. Color differences, grinding tracks.",,
,,,,,,"Sommerreifen. Schleifspuren, Farbunterschiede,Kratzer.","Summer tires. Grinding tracks, color differences, scratches.",,
,,,,,,"Sommerreifen. Schleifspuren, Farbunterschiede,verkratzt.","Summer tires. Grinding tracks, color differences, scratched.",,
,,,,,,"Sommerreifen.verformt, Schleifspuren, Farbunterschiede.","Summer tires.Defes, grinding tracks, color differences.",,
,,,,,,Lackverschmutzung.Schleifen/Polieren.Folgekosten moeglich,Paint pollution. Grinding / polishing. Exercise costs possible,,
,,,,,,"Orangenhaut,Lack matt.Schleifen/Polieren.Folgekosten moeglich","Orange skin, paint matt. Grinding / polishing. Expenses possible",,
,,,,,,"Keine Ganzjahresr. montiert, nicht Polymerbeschichtet.","No year round. mounted, not polymer-coated.",,
,,,,,,Leiste Fensterrahmen,List window frame,,
,,,,,,Rueckstaende von Dellen druecken sichtbar.,Returns of Dents visible.,,
,,,,,,Verkleidung Tuer unterhalb,Fairing door below,,
,,,,,,Deckel fehlt,Lid is missing,,
,,,,,,links. Folgekosten moeglich.,Left. Subsequent costs possible.,,
,,,,,,Rostpickel,Rust pimple,,
,,,,,,Chromleiste rechts verschrammt,Chrome bar shredded to the right,,
,,,,,,Leuchte rechts verkratzt,Scratched light on the right,,
,,,,,,links und rechts korrodiert,corroded left and right,,
,,,,,,Außen unterhalb,Outside below,,
,,,,,,2x.,2x.,,
,,,,,,Im Sichtfeld.,In the field of view.,,
,,,,,,Material Abtragung.,Material removal.,,
,,,,,,#NAME?,#NAME?,,
,,,,,,13 Dellen,13 dents,,
,,,,,,Spurplatten verbaut,Track plates installed,,
,,,,,,Einseitige Abnutzung,Unilateral wear,,
,,,,,,Austiegsbeleuchtung,Evaluation lighting,,
,,,,,,Reifenabdruck,Tire print,,
,,,,,,Saegezahn,Saw,,
,,,,,,Und beschaedigt,And damaged,,
,,,,,,seit 218 Tagen,For 218 days,,
,,,,,,auf Kante unten.,On edge below.,,
,,,,,,VL. Keine aeußerliche Beschaedig. Erkennbar.,VL. No other compatible. Recognizable.,,
,,,,,,seit 7 Tagen.,For 7 days.,,
,,,,,,Halterung rechts,Bracket right,,
,,,,,,Wellig und Silikonloecher,Wavy and silicone loose,,
,,,,,,Lacklaeufer und Silikonloecher,Paintlaeufer and silicone loose,,
,,,,,,Schlecht Beilackiert+ Kratzer,Badly lacquered + scratches,,
,,,,,,Schlecht Beilackiert,Poorly lacquered,,
,,,,,,Kein Runflat,No Runflat,,
,,,,,,"Verformt, Lackeinschluesse","Deformed, paint influence",,
,,,,,,"Schleifspuren, Verformt","Grinding tracks, deformed",,
,,,,,,Zubehoer Felgen,Zuhoer rims,,
,,,,,,Zubehoer Alufelgen,Accessories alloy wheels,,
,,,,,,"leicht verformt, Lackmangel.","Easily deformed, paint deficiency.",,
,,,,,,mit Rissbildung im sichtbereich.,with cracking in the field of view.,,
,,,,,,Im Kantenbereich,In the edge area,,
,,,,,,"Umwelteinfluesse,Veraetzung, Lacktiefenbehandlung durchfuehren","Environmental influence, compensation, lacquer depth treatment",,
,,,,,,Tuer entlang Kratzer,Turkey along scratches,,
,,,,,,Vogelkotanaetzung,Bird coatings,,
,,,,,,Gummi Halteband,Rubber tape,,
,,,,,,Oben,Above,,
,,,,,,Ad Blue nachfuellen,Add blue,,
,,,,,,Dellen / Baumharz,Dents / tree resin,,
,,,,,,Leisten Tueren unten,Straps down,,
,,,,,,#NAME?,#NAME?,,
,,,,,,"Lackstruktur, Delle","Paint structure, delle",,
,,,,,,"Schleifspuren, Lackstruktur","Grinding tracks, paint structure",,
,,,,,,"Lackstruktur, welliger Untergrund, Orangenhaut, Schleifspur","Paint structure, wavy underground, orange skin, grinding track",,
,,,,,,Beschichtung Rissig,Coating cracked,,
,,,,,,Einstiegsbeleuchtung Fahrertuer,Entry lighting driver,,
,,,,,,"1 Reifen, Schraube im Reifen","1 tires, screw in the tire",,
,,,,,,Rostbildung,Rusting,,
,,,,,,Aussenseitig abgelaufen,Outlet expired,,
,,,,,,"Staubeinschl., Lack matt. Schleifen/Polieren.Folgekosten moeg","Dust close, paint matt. Grinding / polishing. Exercise costs MoeG",,
,,,,,,mit Tropfenbildung,with dropping,,
,,,,,,Sommerreifen statt Ganzjahresreifen,Summer tires instead of all-season tires,,
,,,,,,Poliern/vorbehaltlich Folgekosten,Poliern / Subject to follow-up costs,,
,,,,,,Mittelkonsole hinten,Center console rear,,
,,,,,,Verdunkelungsrollo/vorbehaltlich Folgekosten,Darkening blind / Subject to follow-up costs,,
,,,,,,Raue oberflaeche,Rough surface,,
,,,,,,Staubeinschluesse und Flecken,Dust inclusion and stains,,
,,,,,,11 Dellen,11 dents,,
,,,,,,Druchstellen,Tub,,
,,,,,,In 300km,300km,,
,,,,,,4 19,4 19,,
,,,,,,Nicht fachgerecht inst.,Not properly Inst.,,
,,,,,,Spachtel gerissen,Torn spatula,,
,,,,,,Mit Deformation,Deformation,,
,,,,,,Im Fahrerfußraum,In the driver's football room,,
,,,,,,Schleifkrazer im Lack,Grinding crazer in the paint,,
,,,,,,Unruhige Lackoberflaeche,Restless lacquer surface,,
,,,,,,Nicht zurueckgesetzt! Vorbehaltlich Folgekosten,Not returned! Subject to follow-up costs,,
,,,,,,Auf Außenkante,Outer edge,,
,,,,,,Staubeinschluesse/Flaeche & Lacklaeufer vorbehaltlich Folgekos.,Dust Close / Fleche & Lacklaeufer Subject to follow-up cos.,,
,,,,,,einseitig,unilateral,,
,,,,,,Sommerreifen Außenkante/vorbehaltlich Folgekosten,Summer tires Outside edge / subject to follow-up costs,,
,,,,,,2 Reifen Außenkante glatt,2 tire outer edge smooth,,
,,,,,,Seit 800km,Since 800km,,
,,,,,,Kratzer und verformt,Scratch and deformed,,
,,,,,,Verkleidung rechts/vorbehaltlich Folgekosten,Cladding right / subject to follow-up costs,,
,,,,,,In 32 Tagen,In 32 days,,
,,,,,,Unten/links,Bottom left,,
,,,,,,Unten/rechts,Bottom right,,
,,,,,,Tuerflaeche unterhalb v. Tuergriff wellig/vorbehaltlich Folgek.,Tuerflaeche below v. Taper handle wavy / subject to follow-up.,,
,,,,,,Keine Sommerreifen in 195/65 16,No summer tires in 195/65 16,,
,,,,,,Inkl. Rissbildung im Sichtfeld,Incl. Cracking in the field of view,,
,,,,,,Mechanicher Teil,Mechanical part,,
,,,,,,Belaege in kuerze faellig,Beles in Kuerze Faellig,,
,,,,,,Leiste links,Left bar,,
,,,,,,Befestigungsoese/vorbehaltlich Folgekosten,Fasteningoesis / Subject to follow-up costs,,
,,,,,,Inkl. Steinschlaege/vorbehaltlich Folgekosten,Including stone slides / subject to subsequent costs,,
,,,,,,Raenderungen im Lackbild,Raumes in the lacquer picture,,
,,,,,,Kante gestaucht inkl. Lackabplatzung,Edge compressed incl. Lacquer chipping,,
,,,,,,Einstiegskante,Entry edge,,
,,,,,,400km Restlauf,400km residual run,,
,,,,,,"Dach und Holme links und rechts, 35x","Roof and Holme left and right, 35x",,
,,,,,,Chrom Leiste mittig,Chrome bar in the middle,,
,,,,,,Griffschale innen,Handle shell inside,,
,,,,,,9x,9x,,
,,,,,,12V Dose Kofferraum,12V can trunk,,
,,,,,,verdreht,twisted,,
,,,,,,mitte rechts,middle right,,
,,,,,,links im Randbereich,Left in the edge area,,
,,,,,,Winter<4 mm,Winter <4 mm,,
,,,,,,6 Tage,6 days,,
,,,,,,04/ 2019,04/2019,,
,,,,,,mit Dellen,with dents,,
,,,,,,9,9,,
,,,,,,Mit rissbildung,With cracking,,
,,,,,,Großflaechige,Grandfather,,
,,,,,,4x Blende fehlt,4x aperture is missing,,
,,,,,,am Dachhimmel,on the headliner,,
,,,,,,"Kofferraumbereich, Radkasten Innenseite","Trunk area, wheel arch inside",,
,,,,,,Komplett foliert,Completely foiled,,
,,,,,,Verkratzt und mit Farben verunreinigt,Scratched and contaminated with colors,,
,,,,,,Radnabenabdeckung,Hub cover,,
,,,,,,Geschwindigkeitsindex T statt H,Speed ​​Index T instead of H,,
,,,,,,In 2 Tagen,In 2 days,,
,,,,,,2.2,2.2,,
,,,,,,Keine Sommerreifen in H montiert,No summer tires mounted in H,,
,,,,,,Geschwindigkeitsindex zu gering,Speed ​​index too low,,
,,,,,,05/18/22,05/18/22,,
,,,,,,Index zu klein,Index too small,,
,,,,,,Motorhaube,Engine Hood,,
,,,,,,Tuer vorn links,Tower left,,
,,,,,,Seit 21 Tagen,For 21 days,,
,,,,,,Fehlstellung,Miss,,
,,,,,,"Lackmangel, Kratzer","Paint deficiency, scratches",,
,,,,,,Komplette Haube verkratzt,Scratched complete hood,,
,,,,,,Oberflaeche uneben,Oberflaeche uneven,,
,,,,,,Laderaumbordwand vorne,Carrying frame front,,
,,,,,,Spaene im OEl und,Spae in the oil and,,
,,,,,,Ladebordwand vorne,Tail lift front,,
,,,,,,Beulen 4,Beuling 4,,
,,,,,,Ladeklappe hinten,Rear loader,,
,,,,,,Abschlepp Haken,Towing hook,,
,,,,,,Stoßfaenger hi. re.,Shock Fenger Hi. Re.,,
,,,,,,Stoßfaenger vo.,Shock Fenger Vo.,,
,,,,,,Service wird im AH durchgefuehrt,Service is carried out in the AH,,
,,,,,,Nicht polymerbeschichtet,Non-polymer-coated,,
,,,,,,Harzanhaftung,Resin adhesion,,
,,,,,,Blende rechts u. Iinks,Hide right u. Iinks,,
,,,,,,OElwechsel in 1500 km,Oil change in 1500 km,,
,,,,,,Tiefe Rillen,Deep grooves,,
,,,,,,"Lackmangel, verkratzt","Paint deficiency, scratched",,
,,,,,,Links und rechts ern.,Left and right.,,
,,,,,,instandgesetzt,repaired,,
,,,,,,"Glanzgedrehte Oberflaeche, Sommerraeder","Gloss-turned surface, summer premature",,
,,,,,,auslegen und polieren ggf.Kostenerweiterung moeglich,Exposure and polishing possibly possible expansion possible,,
,,,,,,sehr viele Steinschlaege,Very many stone slides,,
,,,,,,Br. Scheiben stark eingelaufen,Br. Slices ago,,
,,,,,,Fensterschacht,Window shaft,,
,,,,,,Restspuren einer Werbebeklebung,Residual traces of an advertising labeling,,
,,,,,,lt. Auskunft Kunde W und V Vertrag vorhanden,Lt. Information Customer W and V contract available,,
,,,,,,Lacknebel.,Paint fog.,,
,,,,,,Tuer hinen links,Turk left,,
,,,,,,R+ L,R + L,,
,,,,,,#ERROR!,#ERROR!,,
,,,,,,OElwannenverkleidung,Oil pan holding,,
,,,,,,und Ozonbehandlung,and ozone treatment,,
,,,,,,Strahler,Spotlight,,
,,,,,,"Steinschlag,Lackbruch.Folgekosten nach zerlegen moeglich.","Rockfall, paint break. Excesses after disassembly possible.",,
,,,,,,1x Abdeckung LM,1x cover LM,,
,,,,,,1x LM Sommerrad,1x LM summer wheel,,
,,,,,,02/20.,02/20.,,
,,,,,,im Kuehlergrill.,In the cool grill.,,
,,,,,,Klebereste.Schleifen/Polieren.Folgekosten moeglich.,Adhesive residual grinding / polishing. Expenses possible.,,
,,,,,,links. Grau lackiert.,Left. Gray painted.,,
,,,,,,Aussparung fuer Anhaengerkupplung fehlt ggf. Folgekosten,Recess for trailing clutch is missing if necessary follow-up costs,,
,,,,,,und beschaedigt,and damaged,,
,,,,,,Blende fehlt,Aperture is missing,,
,,,,,,Aussenseiten abgefahren,Outer pages,,
,,,,,,Knick auf Kante,Kink on edge,,
,,,,,,"Lackrueckstaende, Kratzer. Folgekosten moeglich.","Paint Rueckstände, scratches. Subsequent costs possible.",,
,,,,,,"Laeufer,orangenhaut.Schleifen/Polieren.Folgekosten moeglich.","Laeuer, Orange Haut. Grinding / Polishing. Expenses possible.",,
,,,,,,"Staubeinschluesse, Lackabloesung.","Dust inclusion, paint dropout.",,
,,,,,,"verformt,Laeufer,orangenhaut.","deformed, Laeuer, orange skin.",,
,,,,,,"Laeufer, orangenhaut, dellen, Staubeinschluesse","Laeuer, orange skin, dents, dust inclusion",,
,,,,,,"Kante verschliffen,Lacknebelrueck.,Orangenh.","Edge ground, lacquer mist., Orangenh.",,
,,,,,,mit Korrosion.Kante vorne.Folgekosten moeglich.,With corrosion. Canture front. Excesses possible.,,
,,,,,,"Orangenhaut,Abklebekante.Schleifen/Polieren.Folgekosten moegl","Orange skin, masking edge grinding / polishing. Excesses Moegl",,
,,,,,,"Staubeinschluesse,orangenhaut,Verformt.","Dust inclusion, orange skin, deformed.",,
,,,,,,"Schleifspuren sichtbar, Abklebekante.","Grinding tracks visible, recycling edge.",,
,,,,,,"Schleifspuren sichtbar, orangenhaut.","Grinding tracks visible, orange skin.",,
,,,,,,"Spaltmaße passen nicht, kunde hatte Unfall","Fission dimensions do not fit, customer had accident",,
,,,,,,oberhalb. Schleifen/Polieren.Folgekosten moeglich.,above. Grinding / polishing. Exercise costs possible.,,
